dataset_name	uuid	system	path
TCGA-A2-A0SV-10A-01W-A097-09.wxs.N.hg38	1571b866-6da0-48a3-875c-21cbaef4e7cb	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/1571b866-6da0-48a3-875c-21cbaef4e7cb/TCGA-A2-A0SV-10A-01W-A097-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0SW-01A-11D-A099-09.wxs.T.hg38	444d80c3-1456-4a43-a20a-14b4f8d06c58	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/444d80c3-1456-4a43-a20a-14b4f8d06c58/TCGA-A2-A0SW-01A-11D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0SW-10A-01W-A097-09.wxs.N.hg38	b8aea502-74e4-472a-aed9-6ca6e803a0d1	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/b8aea502-74e4-472a-aed9-6ca6e803a0d1/TCGA-A2-A0SW-10A-01W-A097-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0SX-01A-12D-A099-09.wxs.T.hg38	b59dd415-ab95-4da4-8f4a-78625e6c76ef	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/b59dd415-ab95-4da4-8f4a-78625e6c76ef/TCGA-A2-A0SX-01A-12D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0SX-10A-01D-A099-09.wxs.N.hg38	63ce6678-4d64-49b3-9e68-a182ebad45bb	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/63ce6678-4d64-49b3-9e68-a182ebad45bb/TCGA-A2-A0SX-10A-01D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0T4-01A-31D-A099-09.wxs.T.hg38	83d537eb-df10-47a1-95e0-1c7efbb3bb5c	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/83d537eb-df10-47a1-95e0-1c7efbb3bb5c/TCGA-A2-A0T4-01A-31D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0T4-10A-01D-A099-09.wxs.N.hg38	47bcf863-811d-498e-b40a-a46471d43516	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/47bcf863-811d-498e-b40a-a46471d43516/TCGA-A2-A0T4-10A-01D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0T5-01A-21D-A099-09.wxs.T.hg38	df174456-82a5-45bf-88f5-ef68a4337507	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/df174456-82a5-45bf-88f5-ef68a4337507/TCGA-A2-A0T5-01A-21D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0T5-10A-01D-A099-09.wxs.N.hg38	ca68d711-66ca-424a-a467-08a0335842b1	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/ca68d711-66ca-424a-a467-08a0335842b1/TCGA-A2-A0T5-10A-01D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0T5.ATAC-Seq.T.hg38	21f62128-3081-47a2-bd34-be5fe44dd49c	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/21f62128-3081-47a2-bd34-be5fe44dd49c/945a9898-675f-47aa-a512-589ec4971313_atacseq_gdc_realn.bam
TCGA-A2-A0T6-01A-11D-A099-09.wxs.T.hg38	d9cb6634-f7ea-4f72-9088-97024ba75f4b	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/d9cb6634-f7ea-4f72-9088-97024ba75f4b/TCGA-A2-A0T6-01A-11D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0T6-10A-01D-A099-09.wxs.N.hg38	58e45224-8a85-40b5-8b5d-d23fa0d4a202	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/58e45224-8a85-40b5-8b5d-d23fa0d4a202/TCGA-A2-A0T6-10A-01D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
